product_id,discounted_price,actual_price,discount_percentage,rating,rating_count,worth or not worth
B08Y55LPBF,32999,"44,999",0.27,4.2,"45,238",1
B015OW3M1W,799,"1,700",0.53,4.1,"28,638",1
B01D5H8ZI8,229,595,0.62,4.3,"12,835",1
B09X1M3DHX,9999,"27,990",0.64,4.2,"1,269",0
B09MM6P76N,349,599,0.42,4.2,284,0
B01D5H8LDM,489,"1,200",0.59,4.4,"69,538",1
B0B1YY6JJL,23999,"34,990",0.31,4.3,"4,703",1
B09QGZM8QB,399,999,0.6,4.3,"2,806",1
B08L4SBJRY,349,"1,299",0.73,4,"3,295",1
B09X79PP8F,179,299,0.4,3.9,81,0
B082T6GVG9,689,"1,500",0.54,4.2,"42,301",1
B0B3XY5YT4,30990,"49,990",0.38,4.3,"1,376",0
B0B4HKH19N,249,931,0.73,3.9,"1,075",0
B08TGG316Z,999,"2,399",0.58,4.6,"3,664",1
B071VMP1Z4,399,399,0,3.9,"1,951",0
B071SDRGWL,349,699,0.5,4.3,"20,850",1
B08PSQRW2T,399,"1,099",0.64,4.1,"2,685",1
B0859M539M,1699,"2,999",0.43,4.4,"24,780",1
B08RX8G496,655,"1,099",0.4,3.2,285,0
B002SZEOLG,749,"1,339",0.44,4.2,"1,79,692",0
B08CS3BT4L,9999,"12,999",0.23,4.2,"6,088",1
B00RFWNJMC,195,499,0.61,3.7,"1,383",0
B082T6GXS5,999,"2,100",0.52,4.5,"5,492",1
B09CMQRQM6,499,899,0.44,4.2,919,0
B005LJQMCK,416,599,0.31,4.2,"30,023",1
B09C6H53KH,368,699,0.47,4.2,387,0
B0BB3CBFBM,29990,"65,000",0.54,4.1,211,0
B08QSDKFGQ,339,"1,099",0.69,4.3,974,0
B08PV1X771,15490,"20,900",0.26,4.3,"16,299",1
B07YTNKVJQ,499,"1,299",0.62,4.3,"30,411",1
B0117H7GZ6,249,399,0.38,3.4,"4,642",1
B09XJ1LM7R,399,799,0.5,4.3,12,0
B084N133Y7,1499,"1,999",0.25,4.4,"1,951",1
B088Z1YWBC,9490,"15,990",0.41,3.9,"10,480",1
B07VSG5SXZ,637,"1,499",0.58,4.1,24,0
B08RWCZ6SY,399,899,0.56,3.9,254,0
B07KSB1MLX,1089,"1,600",0.32,4,"3,565",1
B081FG1QYX,339,999,0.66,4.3,"6,255",1
B08R69WBN7,149,499,0.7,4,"7,732",1
B0B3RHX6B6,149,399,0.63,3.9,57,0
B084N18QZY,599,849,0.29,4.5,577,0
B081NHWT6Z,299,"1,199",0.75,3.9,"1,193",0
B07JPJJZ2H,399,"1,299",0.69,4.2,"13,120",1
B09JKNF147,339,"1,999",0.83,4,343,0
B0B9959XF3,12499,"22,990",0.46,4.3,"1,611",0
B09PNR6F8Q,249,399,0.38,4,"6,558",1
B07M69276N,1399,"2,499",0.44,4.4,"23,169",1
B0B1YZ9CB8,32999,"47,990",0.31,4.3,"4,703",1
B09YLYB9PB,149,399,0.63,4,"1,423",0
B08CTNJ985,325,999,0.67,4.3,"2,651",1
B0BP7XLX48,399,"1,999",0.8,5,5,0
B09LHXNZLR,199,499,0.6,3.7,612,0
B0B3N8VG24,88,299,0.71,4,"9,378",1
B08PSVBB2X,399,"1,099",0.64,4.1,"2,685",1
B0B3MQXNFB,57.89,199,0.71,4,"9,378",1
B08XMSKKMM,799,"1,999",0.6,3.3,576,0
