product_id,discounted_price,actual_price,discount_percentage,rating,rating_count,product_name,category,img_link,product_link
B083RCTXLL,681,1199,0.43,4.2,8258,HP X200 Wireless Mouse with 2.4 GHz Wireless connectivity| Adjustable DPI up to 1600| ambidextrous Design| and 18-Month Long Battery Life. 3-Years Warranty (6VY95AA),"Computers&Accessories|Accessories&Peripherals|Keyboards,Mice&InputDevices|Mice",https://m.media-amazon.com/images/I/21psCtgM5BL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/HP-Wireless-Mouse-X200-6VY95AA/dp/B083RCTXLL/ref=sr_1_82?qid=1672902998&s=computers&sr=1-82
B08HLZ28QC,1199,3490,0.66,4.1,11716,Oakter Mini UPS for 12V WiFi Router Broadband Modem | Backup Upto 4 Hours | WiFi Router UPS Power Backup During Power Cuts | UPS for 12V Router Broadband Modem | Current Surge & Deep Discharge Protection,Computers&Accessories|NetworkingDevices,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/31PfpEPlg-L._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/Mini-UPS-Router-WiFi-12V/dp/B08HLZ28QC/ref=sr_1_83?qid=1672902998&s=computers&sr=1-83
B07GVR9TG7,2499,4999,0.5,4.4,35024,TP-Link Archer AC1200 Archer C6 Wi-Fi Speed Up to 867 Mbps/5 GHz + 400 Mbps/2.4 GHz| 5 Gigabit Ports| 4 External Antennas| MU-MIMO| Dual Band| WiFi Coverage with Access Point Mode| Black,Computers&Accessories|NetworkingDevices|Routers,https://m.media-amazon.com/images/I/41VDUqScJFL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/TP-Link-Archer-C6-Wireless-MU-MIMO/dp/B07GVR9TG7/ref=sr_1_84?qid=1672902998&s=computers&sr=1-84
B0856HY85J,1799,4999,0.64,4.1,55192,boAt Rockerz 550 Over Ear Bluetooth Headphones with Upto 20 Hours Playback| 50MM Drivers| Soft Padded Ear Cushions and Physical Noise Isolation| Without Mic (Black),"Electronics|Headphones,Earbuds&Accessories|Headphones|Over-Ear",https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/41PlZjYsy-L._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/Boat-Rockerz-550-Headphone-Aesthetics/dp/B0856HY85J/ref=sr_1_85?qid=1672902998&s=computers&sr=1-85
B07CD2BN46,429,599,0.28,4.1,119466,Xiaomi Mi Wired in Ear Earphones with Mic Basic with Ultra Deep Bass & Aluminum Alloy Sound Chamber (Black),"Electronics|Headphones,Earbuds&Accessories|Headphones|In-Ear",https://m.media-amazon.com/images/I/31Rn5CAJDBL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/Mi-Earphones-Basic-Mic-Black/dp/B07CD2BN46/ref=sr_1_87?qid=1672902998&s=computers&sr=1-87
B07PLHTTB4,100,499,0.8,3.5,9638,Zodo 8. 5 inch LCD E-Writer Electronic Writing Pad/Tablet Drawing Board (Paperless Memo Digital Tablet),"Computers&Accessories|Accessories&Peripherals|Keyboards,Mice&InputDevices|GraphicTablets",https://m.media-amazon.com/images/I/51JF5xTgNhL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/ZODO-Writer-Electronic-Writing-Paperless/dp/B07PLHTTB4/ref=sr_1_88_mod_primary_new?qid=1672902998&s=computers&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-88
B077T3BG5L,329,399,0.18,3.6,33735,Zebronics ZEB-KM2100 Multimedia USB Keyboard Comes with 114 Keys Including 12 Dedicated Multimedia Keys & with Rupee Key,"Computers&Accessories|Accessories&Peripherals|Keyboards,Mice&InputDevices|Keyboards",https://m.media-amazon.com/images/I/41XQP3N-SdL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/Zebronics-Km2100-Multimedia-USB-Keyboard/dp/B077T3BG5L/ref=sr_1_89?qid=1672902998&s=computers&sr=1-89
B08DDRGWTJ,229,299,0.23,4.3,30411,MI Usb Type-C Cable Smartphone (Black),Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,https://m.media-amazon.com/images/I/31XO-wfGGGL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/MI-MTCY001IN-USB-Type-C-Cable/dp/B08DDRGWTJ/ref=sr_1_90?qid=1672902998&s=computers&sr=1-90
B079Y6JZC8,139,299,0.54,3.8,3044,ZEBRONICS Zeb-Comfort Wired USB Mouse| 3-Button| 1000 DPI Optical Sensor| Plug & Play| for Windows/Mac| Black,"Computers&Accessories|Accessories&Peripherals|Keyboards,Mice&InputDevices|Mice",https://m.media-amazon.com/images/I/31vS-1ot-HL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/Zebronics-Wired-Optical-Mouse-Black/dp/B079Y6JZC8/ref=sr_1_91?qid=1672902998&s=computers&sr=1-91
B0856HNMR7,1199,2499,0.52,4,33584,boAt Rockerz 370 On Ear Bluetooth Headphones with Upto 12 Hours Playtime| Cozy Padded Earcups and Bluetooth v5.0| with Mic (Buoyant Black),"Electronics|Headphones,Earbuds&Accessories|Headphones|On-Ear",https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/41Beq4WLggL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/Rockerz-370-Headphone-Bluetooth-Lightweight/dp/B0856HNMR7/ref=sr_1_92?qid=1672902998&s=computers&sr=1-92
